"","id","name","timestamps","date","time","fix","lat","long","zone","northing","easting","hdop","satellites"
"1","F736449","Randy","2023-04-18 08:30:11","2023-04-18","08:30","Resolved QFP",58.734164,-93.604581,"15V",6510609,464998,1.1,7
"2","F736449","Randy","2023-04-18 09:45:06","2023-04-18","09:45","Resolved QFP",58.734147,-93.604559,"15V",6510608,465000,1.4,8
"3","F736449","Randy","2023-04-18 11:00:08","2023-04-18","11:00","Resolved QFP",58.734142,-93.60457,"15V",6510607,464999,1.2,8
"4","F736449","Randy","2023-04-19 18:00:08","2023-04-19","18:00","Resolved QFP",58.699536,-93.264967,"15V",6506626,484645,1.7,8
"5","F736449","Randy","2023-04-19 18:15:07","2023-04-19","18:15","Resolved QFP",58.701184,-93.243619,"15V",6506805,485882,1.1,8
"6","F736449","Randy","2023-04-19 18:30:08","2023-04-19","18:30","Resolved QFP",58.704232,-93.221141,"15V",6507140,487186,1.3,9
"7","F736449","Randy","2023-04-19 18:45:08","2023-04-19","18:45","Resolved QFP",58.706167,-93.193397,"15V",6507350,488794,1.5,7
"8","F736449","Randy","2023-04-19 19:00:08","2023-04-19","19:00","Resolved QFP",58.709752,-93.173777,"15V",6507747,489932,1.1,9
"9","F736449","Randy","2023-04-19 19:15:07","2023-04-19","19:15","Resolved QFP",58.710071,-93.17411,"15V",6507782,489913,1.5,7
"10","F736449","Randy","2023-04-19 19:30:08","2023-04-19","19:30","Resolved QFP",58.709774,-93.171535,"15V",6507749,490062,0.8,11
"11","F736449","Randy","2023-04-19 19:45:06","2023-04-19","19:45","Resolved QFP",58.709922,-93.171203,"15V",6507765,490081,1.8,7
"12","F736449","Randy","2023-04-19 20:00:09","2023-04-19","20:00","Resolved QFP",58.710089,-93.168604,"15V",6507783,490232,1.3,8
"13","F736449","Randy","2023-04-19 20:15:07","2023-04-19","20:15","Resolved QFP",58.710072,-93.168725,"15V",6507781,490225,1.1,9
"14","F736449","Randy","2023-04-19 20:30:07","2023-04-19","20:30","Resolved QFP",58.710094,-93.168537,"15V",6507784,490236,1.6,7
"15","F736449","Randy","2023-04-19 20:45:08","2023-04-19","20:45","Resolved QFP",58.710067,-93.168656,"15V",6507781,490229,1.2,10
"16","F736449","Randy","2023-04-19 21:00:08","2023-04-19","21:00","Resolved QFP",58.710036,-93.168681,"15V",6507777,490228,0.9,11
"17","F736449","Randy","2023-04-19 21:15:07","2023-04-19","21:15","Resolved QFP",58.710088,-93.168649,"15V",6507783,490229,0.9,10
"18","F736449","Randy","2023-04-19 21:30:07","2023-04-19","21:30","Resolved QFP",58.710065,-93.168681,"15V",6507781,490228,0.8,11
"19","F736449","Randy","2023-04-19 21:45:08","2023-04-19","21:45","Resolved QFP",58.710087,-93.168662,"15V",6507783,490229,0.9,10
"20","F736449","Randy","2023-04-19 22:00:07","2023-04-19","22:00","Resolved QFP",58.710106,-93.168643,"15V",6507785,490230,0.8,11
"21","F736449","Randy","2023-04-19 22:15:07","2023-04-19","22:15","Resolved QFP",58.710133,-93.168685,"15V",6507788,490227,0.9,10
"22","F736449","Randy","2023-04-19 22:30:07","2023-04-19","22:30","Resolved QFP",58.710081,-93.168628,"15V",6507782,490231,1,10
"23","F736449","Randy","2023-04-19 22:45:07","2023-04-19","22:45","Resolved QFP",58.710079,-93.168649,"15V",6507782,490229,1,10
"24","F736449","Randy","2023-04-19 23:00:07","2023-04-19","23:00","Resolved QFP",58.710089,-93.168632,"15V",6507783,490230,1,10
"25","F736449","Randy","2023-04-19 23:15:07","2023-04-19","23:15","Resolved QFP",58.71013,-93.168684,"15V",6507788,490227,0.8,12
"26","F736449","Randy","2023-04-19 23:30:07","2023-04-19","23:30","Resolved QFP",58.710165,-93.168682,"15V",6507792,490228,0.9,10
"27","F736449","Randy","2023-04-19 23:45:07","2023-04-19","23:45","Resolved QFP",58.710091,-93.168711,"15V",6507784,490226,0.8,11
"28","F736449","Randy","2023-04-20 12:00:07","2023-04-20","12:00","Resolved QFP",58.710222,-93.174188,"15V",6507799,489909,0.9,11
"29","F736449","Randy","2023-04-20 12:15:06","2023-04-20","12:15","Resolved QFP",58.710162,-93.174232,"15V",6507792,489906,0.9,10
"30","F736449","Randy","2023-04-20 12:30:07","2023-04-20","12:30","Resolved QFP",58.710225,-93.174142,"15V",6507799,489911,0.8,12
"31","F736449","Randy","2023-04-20 12:45:06","2023-04-20","12:45","Resolved QFP",58.710257,-93.174112,"15V",6507803,489913,0.8,12
"32","F736449","Randy","2023-04-20 13:00:07","2023-04-20","13:00","Resolved QFP",58.709513,-93.173019,"15V",6507720,489976,0.8,12
"33","F736449","Randy","2023-04-20 13:15:07","2023-04-20","13:15","Resolved QFP",58.709513,-93.173009,"15V",6507720,489977,0.9,10
"34","F736449","Randy","2023-04-20 13:30:07","2023-04-20","13:30","Resolved QFP",58.709517,-93.173021,"15V",6507720,489976,0.9,11
"35","F736449","Randy","2023-04-20 13:45:07","2023-04-20","13:45","Resolved QFP",58.709552,-93.17306,"15V",6507724,489974,0.9,11
"36","F736449","Randy","2023-04-20 14:00:07","2023-04-20","14:00","Resolved QFP",58.7095,-93.173054,"15V",6507718,489974,0.8,11
"37","F736449","Randy","2023-04-20 14:15:07","2023-04-20","14:15","Resolved QFP",58.709443,-93.172943,"15V",6507712,489980,0.8,11
"38","F736449","Randy","2023-04-20 14:30:07","2023-04-20","14:30","Resolved QFP",58.70946,-93.172927,"15V",6507714,489981,0.7,12
"39","F736449","Randy","2023-04-20 14:45:07","2023-04-20","14:45","Resolved QFP",58.709458,-93.173078,"15V",6507714,489973,1.2,10
"40","F736449","Randy","2023-04-20 15:00:07","2023-04-20","15:00","Resolved QFP",58.709458,-93.17309,"15V",6507714,489972,0.9,12
"41","F736449","Randy","2023-04-20 15:15:07","2023-04-20","15:15","Resolved QFP",58.709463,-93.173083,"15V",6507714,489972,0.9,11
"42","F736449","Randy","2023-04-20 15:30:07","2023-04-20","15:30","Resolved QFP",58.709588,-93.172378,"15V",6507728,490013,0.8,12
"43","F736449","Randy","2023-04-20 15:45:07","2023-04-20","15:45","Resolved QFP",58.709628,-93.172323,"15V",6507732,490016,1.1,8
"44","F736449","Randy","2023-04-20 16:00:08","2023-04-20","16:00","Resolved QFP",58.7096,-93.17234,"15V",6507729,490015,0.8,11
"45","F736449","Randy","2023-04-20 16:15:07","2023-04-20","16:15","Resolved QFP",58.709628,-93.17238,"15V",6507733,490013,1.5,8
"46","F736449","Randy","2023-04-20 16:30:06","2023-04-20","16:30","Resolved QFP",58.710142,-93.17425,"15V",6507790,489905,0.8,12
"47","F736449","Randy","2023-04-20 16:45:07","2023-04-20","16:45","Resolved QFP",58.710155,-93.17426,"15V",6507791,489904,0.8,12
"48","F736449","Randy","2023-04-20 17:00:08","2023-04-20","17:00","Resolved QFP",58.710132,-93.174184,"15V",6507789,489909,1.1,10
"49","F736449","Randy","2023-04-20 17:15:07","2023-04-20","17:15","Resolved QFP",58.710114,-93.173999,"15V",6507787,489919,1.9,8
"50","F736449","Randy","2023-04-20 17:30:08","2023-04-20","17:30","Resolved QFP",58.71013,-93.174133,"15V",6507789,489912,0.9,10
"51","F736449","Randy","2023-04-20 17:45:07","2023-04-20","17:45","Resolved QFP",58.710137,-93.174273,"15V",6507789,489904,1.3,9
"52","F736449","Randy","2023-04-21 00:00:07","2023-04-21","00:00","Resolved QFP",58.697758,-93.163626,"15V",6506410,490517,1,12
"53","F736449","Randy","2023-04-21 00:15:08","2023-04-21","00:15","Resolved QFP",58.697771,-93.16369,"15V",6506411,490513,0.9,12
"54","F736449","Randy","2023-04-21 00:30:09","2023-04-21","00:30","Resolved QFP",58.697801,-93.163656,"15V",6506414,490515,0.8,12
"55","F736449","Randy","2023-04-21 00:45:07","2023-04-21","00:45","Resolved QFP",58.697794,-93.163666,"15V",6506414,490515,1,11
"56","F736449","Randy","2023-04-21 01:00:09","2023-04-21","01:00","Resolved QFP",58.697827,-93.163645,"15V",6506417,490516,0.9,12
"57","F736449","Randy","2023-04-21 01:15:07","2023-04-21","01:15","Resolved QFP",58.697761,-93.163648,"15V",6506410,490516,1,12
"58","F736449","Randy","2023-04-21 01:30:07","2023-04-21","01:30","Resolved QFP",58.697769,-93.163646,"15V",6506411,490516,0.9,12
"59","F736449","Randy","2023-04-21 01:45:06","2023-04-21","01:45","Resolved QFP",58.6978,-93.163661,"15V",6506414,490515,1.1,11
"60","F736449","Randy","2023-04-21 02:00:06","2023-04-21","02:00","Resolved QFP",58.697788,-93.163686,"15V",6506413,490514,1,12
"61","F736449","Randy","2023-04-21 02:15:08","2023-04-21","02:15","Resolved QFP",58.697744,-93.163683,"15V",6506408,490514,1.2,11
"62","F736449","Randy","2023-04-21 02:30:06","2023-04-21","02:30","Resolved QFP",58.69779,-93.163628,"15V",6506413,490517,1,12
"63","F736449","Randy","2023-04-21 02:45:07","2023-04-21","02:45","Resolved QFP",58.697779,-93.163635,"15V",6506412,490517,1.2,11
"64","F736449","Randy","2023-04-21 03:00:06","2023-04-21","03:00","Resolved QFP",58.6978,-93.163653,"15V",6506414,490516,1,11
"65","F736449","Randy","2023-04-21 03:15:08","2023-04-21","03:15","Resolved QFP",58.697796,-93.163604,"15V",6506414,490518,0.9,11
"66","F736449","Randy","2023-04-21 03:30:06","2023-04-21","03:30","Resolved QFP",58.697691,-93.163446,"15V",6506402,490527,1,10
"67","F736449","Randy","2023-04-21 03:45:07","2023-04-21","03:45","Resolved QFP",58.697744,-93.163609,"15V",6506408,490518,0.8,11
"68","F736449","Randy","2023-04-21 04:00:08","2023-04-21","04:00","Resolved QFP",58.698747,-93.168643,"15V",6506520,490227,0.7,12
"69","F736449","Randy","2023-04-21 04:15:06","2023-04-21","04:15","Resolved QFP",58.698741,-93.1686,"15V",6506520,490229,0.8,11
"70","F736449","Randy","2023-04-21 04:30:07","2023-04-21","04:30","Resolved QFP",58.698754,-93.168614,"15V",6506521,490228,0.9,10
"71","F736449","Randy","2023-04-21 04:45:06","2023-04-21","04:45","Resolved QFP",58.699429,-93.172805,"15V",6506597,489986,0.9,10
"72","F736449","Randy","2023-04-21 05:00:07","2023-04-21","05:00","Resolved QFP",58.700794,-93.184459,"15V",6506751,489311,0.9,11
"73","F736449","Randy","2023-04-21 05:15:06","2023-04-21","05:15","Resolved QFP",58.700665,-93.198098,"15V",6506739,488520,1.1,8
"74","F736449","Randy","2023-04-21 05:30:06","2023-04-21","05:30","Resolved QFP",58.702013,-93.205278,"15V",6506890,488105,1.1,7
"75","F736449","Randy","2023-04-21 05:45:06","2023-04-21","05:45","Resolved QFP",58.701989,-93.205259,"15V",6506887,488106,1,9
"76","F736449","Randy","2023-04-22 06:00:07","2023-04-22","06:00","Resolved QFP",58.704608,-93.189554,"15V",6507176,489017,0.8,11
"77","F736449","Randy","2023-04-22 07:15:07","2023-04-22","07:15","Resolved QFP",58.704571,-93.189543,"15V",6507172,489017,0.8,11
"78","F736449","Randy","2023-04-22 08:30:08","2023-04-22","08:30","Resolved QFP",58.704597,-93.189606,"15V",6507175,489014,0.9,11
"79","F736449","Randy","2023-04-22 09:45:08","2023-04-22","09:45","Resolved QFP",58.704585,-93.18949,"15V",6507174,489020,1.3,7
"80","F736449","Randy","2023-04-22 11:00:08","2023-04-22","11:00","Resolved QFP",58.704602,-93.189539,"15V",6507176,489017,0.9,9
"81","F736449","Randy","2023-04-23 18:00:07","2023-04-23","18:00","Resolved QFP",58.694291,-93.160772,"15V",6506023,490682,1.1,10
"82","F736449","Randy","2023-04-23 18:15:08","2023-04-23","18:15","Resolved QFP",58.692544,-93.158344,"15V",6505828,490822,1.1,9
"83","F736449","Randy","2023-04-23 18:30:07","2023-04-23","18:30","Resolved QFP",58.692337,-93.157994,"15V",6505805,490842,1,9
"84","F736449","Randy","2023-04-23 18:45:07","2023-04-23","18:45","Resolved QFP",58.692789,-93.158986,"15V",6505856,490785,1,10
"85","F736449","Randy","2023-04-23 19:00:07","2023-04-23","19:00","Resolved QFP",58.692991,-93.159392,"15V",6505878,490761,0.9,10
"86","F736449","Randy","2023-04-23 19:15:07","2023-04-23","19:15","Resolved QFP",58.693039,-93.159407,"15V",6505884,490760,1.2,8
"87","F736449","Randy","2023-04-23 19:30:08","2023-04-23","19:30","Resolved QFP",58.693008,-93.159366,"15V",6505880,490763,1.3,8
"88","F736449","Randy","2023-04-23 19:45:09","2023-04-23","19:45","Resolved QFP",58.692983,-93.159333,"15V",6505877,490765,1.4,8
"89","F736449","Randy","2023-04-23 20:00:08","2023-04-23","20:00","Resolved QFP",58.692951,-93.159323,"15V",6505874,490765,1.3,8
